time,p_inlet,p_outlet,delta_p
1.298,5.24767,0.650265,4.597405
1.3,5.24767,0.650265,4.597405
1.302,5.24767,0.650266,4.597404
1.304,5.24767,0.650266,4.597404
1.306,5.24767,0.650265,4.597405
1.308,5.24767,0.650265,4.597405
1.31,5.24767,0.650266,4.597404
1.312,5.24767,0.650266,4.597404
1.314,5.24767,0.650265,4.597405
1.316,5.24767,0.650265,4.597405
1.318,5.24767,0.650265,4.597405
1.32,5.24767,0.650266,4.597404
1.322,5.24767,0.650266,4.597404
1.324,5.24767,0.650266,4.597404
1.326,5.24767,0.650266,4.597404
1.328,5.24767,0.650265,4.597405
1.33,5.24767,0.650265,4.597405
1.332,5.24767,0.650266,4.597404
1.334,5.24767,0.650266,4.597404
1.336,5.24767,0.650265,4.597405
1.338,5.24767,0.650265,4.597405
1.34,5.24767,0.650266,4.597404
1.342,5.24767,0.650266,4.597404
1.344,5.24767,0.650265,4.597405
1.346,5.24767,0.650265,4.597405
1.348,5.24767,0.650265,4.597405
1.35,5.24767,0.650266,4.597404
1.352,5.24767,0.650266,4.597404
1.354,5.24767,0.650266,4.597404
1.356,5.24767,0.650266,4.597404
1.358,5.24767,0.650266,4.597404
1.36,5.24767,0.650266,4.597404
1.362,5.24767,0.650266,4.597404
1.364,5.24767,0.650266,4.597404
1.366,5.24767,0.650265,4.597405
1.368,5.24767,0.650265,4.597405
1.37,5.24767,0.650266,4.597404
1.372,5.24767,0.650266,4.597404
1.374,5.24767,0.650266,4.597404
1.376,5.24767,0.650265,4.597405
1.378,5.24767,0.650265,4.597405
1.38,5.24767,0.650266,4.597404
1.382,5.24767,0.650266,4.597404
1.384,5.24767,0.650265,4.597405
1.386,5.24767,0.650265,4.597405
1.388,5.24767,0.650266,4.597404
1.39,5.24767,0.650266,4.597404
1.392,5.24767,0.650266,4.597404
1.394,5.24767,0.650266,4.597404
1.396,5.24767,0.650266,4.597404
1.398,5.24767,0.650265,4.597405
1.4,5.24767,0.650265,4.597405
1.402,5.24767,0.650266,4.597404
1.404,5.24767,0.650266,4.597404
1.406,5.24767,0.650265,4.597405
1.408,5.24767,0.650265,4.597405
1.41,5.24767,0.650266,4.597404
1.412,5.24767,0.650266,4.597404
1.414,5.24767,0.650265,4.597405
1.416,5.24767,0.650265,4.597405
1.418,5.24767,0.650266,4.597404
1.42,5.24767,0.650266,4.597404
1.422,5.24767,0.650266,4.597404
1.424,5.24767,0.650266,4.597404
1.426,5.24767,0.650266,4.597404
1.428,5.24767,0.650265,4.597405
1.43,5.24767,0.650265,4.597405
1.432,5.24767,0.650266,4.597404
1.434,5.24767,0.650266,4.597404
1.436,5.24767,0.650265,4.597405
1.438,5.24767,0.650265,4.597405
1.44,5.24767,0.650266,4.597404
1.442,5.24767,0.650266,4.597404
1.444,5.24767,0.650265,4.597405
1.446,5.24767,0.650265,4.597405
1.448,5.24767,0.650265,4.597405
1.45,5.24767,0.650266,4.597404
1.452,5.24767,0.650266,4.597404
